dim,price,title,weight,rating
9 x 7.5 x 1.1 inches,$19.99,"Fintie iPad 2/3/4 Case - 360 Degree Rotating Stand Smart Cover with Auto Sleep / Wake Feature for Apple iPad 2, the new iPad 3 & iPad 4th Generation with Retina Display - Composition Book Black",14.4 ounces,4.3 out of 5 stars
11.5 x 1.1 x 5.8 inches,$8.99,"BeneU Slim Lightweight Leather Folio Magnetic Smart Case Cover Stand with Back Case For Apple iPad Air (iPad 5 th Generation, 2013 release) - Champagne Gold",1 ounces,3.9 out of 5 stars
10.2 x 8.7 x 7.1 inches,$10.99,"Besdata Auto Wake/Sleep Function & Translucent Magnetic Case for Apple iPad 2 / iPad 3 / ipad 4 Bundle with  Screen Protector, Cleaning Cloth & Stylus (PT2600, Black)",8.8 ounces,3.7 out of 5 stars
9.6 x 7.4 x 0.6 inches,$16.99,"iPad Case, JETech® Diamond Folio Leather Smart Cover iPad Case for Apple iPad 2, iPad 3, and the New iPad 4 with Built-in Stand and Front/Back Protection (Latest Version with Built-In Magnet for Sleep/Wake Feature) (Z- Diamond- Plum)",5 ounces,3.7 out of 5 stars
9.8 x 7.5 x 0.6 inches,$15.99,"iPad 2 Case/iPad 3/iPad 4 Case, ESR Illustrators Series Folio Case Stand Case Smart Cover with [Auto Wake Up/Sleep Function] for iPad 4/iPad 3/iPad 2(Tycoon Giraffe)",9.1 ounces,4.1 out of 5 stars
10.7 x 8.2 x 1.4 inches,$15.96,"iPad 2 Case, iPad 2 3 4 Case, Gift_Source (Slim Fit) (Stand Feature) Folio Flip PU Leather Case Cover Skin Back Case for Apple iPad 2 / iPad 3 / iPad 4 (Colorful Tree Tribe),Sent Screen Protector + Stylus Pen",8.8 ounces,4.1 out of 5 stars
9.7 x 7 x 1 inches,$13.99,"Fintie iPad Air 2 Case [Corner Protection] - Slim Fit Leather Folio Case with Smart Cover Auto Sleep / Wake Feature for Apple iPad Air 2 (iPad 6) 2014 Model, Purple",9 ounces,4.5 out of 5 stars
6 x 12.6 x 0.9 inches,$15.88,Pepkoo Ipad 2/3/4 Case Plastic Kid Proof Extreme Duty Dual Protective Back Cover with Kickstand and Sticker for Ipad 4/3/2 - Rainproof Sandproof Dust-proof Shockproof (Black/green),9 ounces,4.3 out of 5 stars
10.5 x 8 x 1 inches,$10.99,"Apple iPad 2/3/4 Case, CINEYO(TM) 360 Degree Rotating Stand Case Cover with Auto Sleep / Wake Feature for iPad 2/3/4(10 Colors)this case is for Apple iPad 2 3 4 (White)",10.4 ounces,3.8 out of 5 stars
9.5 x 6.7 x 0 inches,$9.95,Tech Armor Apple iPad Air 2 / iPad Air (first generation) High Defintion (HD) Clear Screen Protectors -- Maximum Clarity and Touchscreen Accuracy [2Pack] Lifetime Warranty,2.4 ounces,4.4 out of 5 stars
