dim,price,title,weight,rating
9.5 x 7.2 x 1 inches,$17.95,"Members Only Genuine Leather Stand Up Portfolio Case Cover For Apple iPad 2, 3, 4 Blood Ox Red - Retail Packaging",9.6 ounces,1.5 out of 5 stars
8.3 x 6.3 x 0.6 inches,$15.00,TFY iPad Mini & Mini 2 & Mini 3 & iPad Mini 4 Car Headrest Mount Holder,4.8 ounces,4.6 out of 5 stars
6.5 x 6 x 2 inches,$29.99,"Case Scenario 2-Port USB Wall Charger Travel Kits with 4 Interchangeable Plugs (US, UK, EU, AU) for Apple iphone, ipad, ipod, Android Smartphone, Tablet and other USB Charger Devices etc - AURORA",8 ounces,
11.2 x 7.9 x 1 inches,$5.99,Nozza 360 Degree Rotating iPad 2 Case (Stylish Lucky Flowers Pink): Folio Convertible Cover Multi-angle Vertical and Horizontal Stand with Smart On/Off for the Apple iPad 2/the New iPad (iPad 3)/iPad 4 NOT for iPad Air,9.6 ounces,3.9 out of 5 stars
10.5 x 8.5 x 1.1 inches,$24.99,"Logitech Type+ Protective Case with Integrated Keyboard for iPad Air 2, Dark Blue (Certified Refurbished)",1.1 pounds,4.3 out of 5 stars
9 x 5.7 x 1 inches,$9.99,"IDEgg? Folio Patterns Luxury pu Leather Smart Stand Case Cover with Auto Wake/Sleep for Apple iPad Mini 1/2/3 Case(Blue with Drill buckle, Ipad mini 1/2/3)",4.8 ounces,4.7 out of 5 stars
12 x 0.8 x 9.1 inches,$39.95,Apple iPad Air 2 Drop Tech Blue Gumdrop Cases Silicone Rugged Shock Absorbing Protective Dual Layer Cover Case,9.6 ounces,4.3 out of 5 stars
8 x 5.4 x 0.5 inches,$14.99,"ProCase Apple iPad mini with Retina Display Case with bonus stylus pen - Flip Stand Leather Folio Cover for iPad mini 2 (2013) and iPad mini (2012), with Smart Cover Auto Sleep/Wake (Purple)",2.2 ounces,4.7 out of 5 stars
2.4 x 12.4 x 10.8 inches,$17.53,"Fisher-Price Laugh & Learn Case for iPad, Red",2.2 pounds,4.2 out of 5 stars
7.4 x 9.5 x 0.4 inches,$24.99,"Targus Versavu Rotating Case and Stand for iPad 3 and 4, Charcoal Gray/Calypso Pink (THZ15606US)",14.6 ounces,4.4 out of 5 stars
8 x 0.3 x 5.5 inches,$12.49,"iPad case,iPad Air case, iPad 5 Case, ACEGUARDER Light Weight Shockproof Kids Friendly Handle Cases Cover with stand (Rose, iPad 5 (Air))",6.1 ounces,4.2 out of 5 stars
10 x 8.4 x 0.9 inches,$16.99,"Fintie Apple iPad Air Folio Case - Slim Fit Leather Smart Cover with Auto Sleep / Wake Feature for iPad Air (iPad 5th Generation) 2013 Model, Pink",9 ounces,4.5 out of 5 stars
11 x 10.1 x 1 inches,$14.90,NewStyle PU007 Shockproof Handle Stand Case for Apple iPad 2/3/4 - Blue,7 ounces,4.3 out of 5 stars
9 x 0.8 x 13 inches,$62.99,"Targus Versavu Classic Rotating Case for iPad Pro & Other 12.9"" Tablets (THZ631GL)",1.2 pounds,3.6 out of 5 stars
8.1 x 5.6 x 0.6 inches,$12.99,"iPad Mini Case,iPad Mini 3 Case,ULAK 360 Degree Rotating Synthetic Leather Case Cover for Apple iPad Mini 1/2/3 (7.9-inch) with Auto Sleep/Wake Function(Wave and Dot-Pink)",0.3 ounces,4.3 out of 5 stars
8.9 x 7.5 x 0.6 inches,$16.99,"iPad Mini Case, VAKOO iPad Mini 3 2 1 Case Kids Proof Shockproof Drop Proof Soft Silicone Portable Light Weight Handle Case Cover for iPad Mini 3, iPad Mini Retina Display and iPad Mini (Pink/Blue)",8.5 ounces,4.3 out of 5 stars
9.7 x 6.9 x 0.6 inches,$12.99,ULAK iPad air 2 Case - 360 Degree Rotating Case for Apple iPad Air 2 Synthetic Leather Cover with Auto Sleep/Wake Feature_(iPad 6) 2014 Model (Mint+Pink),9.6 ounces,4.5 out of 5 stars
9.5 x 6.8 x 0.3 inches,$16.99,"Fintie iPad Air 2 Case - Ultra Slim Lightweight Stand Smart Cover with Auto Sleep/Wake Feature for Apple iPad Air 2 (iPad 6) 2014 Model, Leaf Breeze",8.5 ounces,4.3 out of 5 stars
0.7 x 7.5 x 9.8 inches,$29.99,Belkin Slim Style Case / Cover for iPad Air 2 and iPad Air (Blacktop & Gravel),12.5 ounces,4.2 out of 5 stars
9.8 x 7.7 x 1.1 inches,$19.99,"Fintie Apple iPad 2/3/4 Case - 360 Degree Rotating Stand Smart Case Cover for iPad with Retina Display (iPad 4th Generation), the new iPad 3 & iPad 2 (Auto Wake/Sleep Feature) - Vintage Antique Bronze",13.6 ounces,4.3 out of 5 stars
14 x 10 x 1 inches,$19.99,"Laptop Shoulder Bag / Briefcase, Mosiso Denim Fabric Shoulder Bag Briefcase Carry Case for 12.9 iPad Pro / 13.3 Inch Laptop / Notebook Computer / MacBook Air / MacBook Pro, Gray",12.8 ounces,4.7 out of 5 stars
8.5 x 5.8 x 0.9 inches,$9.99,"IDEGG? Fashion PU Leather Crown Design Bling Protective Smart Stand Case Cover with Auto Wake/Sleep for Apple iPad Mini 1/2/3 Case(Rose, Ipad mini 1/2/3)",6.4 ounces,4.7 out of 5 stars
9.2 x 7.4 x 0.5 inches,$7.99,"iPad Case,iPad 2/3/4 Case, BENTOBEN Silicone Plastic 3 in 1 Hybrid Shockproof & Drop Resistance Anti-slip cover for iPad Case iPad 2/3/4 Case(Zebra+Rose Red)",8.8 ounces,4 out of 5 stars
6 x 12.6 x 0.9 inches,$12.99,Pepkoo Ipad Mini 1& 2 Case Plastic Kid Proof Extreme Duty Dual Protective Back Cover with Kickstand and Sticker for Ipad Mini 1&2 - Rainproof Sandproof Dust-proof Shockproof (Black/black),1.8 ounces,4 out of 5 stars
11.6 x 8.2 x 1.5 inches,$17.99,"iPad Case, HAOCOO Extreme Heavy Duty Full Body Rugged Hybrid Protective PU Leather Smart Case Magnetic Cover with Sleep / Wake feature for Apple iPad 2/iPad 3/iPad 4 (Aqua with Black)",0.3 ounces,3.4 out of 5 stars
10.1 x 7.4 x 1 inches,$9.99,"COCOANUT Auto Sleep/Wake Function 360 Degree Rotating Smart Case Cover for 9.7 inch the new iPad (4th Generation)/iPad 3 / iPad 2 with a Stylus as a Gift--Grid Pattern,Yellow",10.4 ounces,3.6 out of 5 stars
10.9 x 8.1 x 1.4 inches,$42.76,"OtterBox Defender Series Case with Screen Protector - Stand for iPad 2,3,4 - Black",1.1 pounds,4.6 out of 5 stars
